Country,Director,Genre,Language,Metascore,Production,Rated,Runtime,Title,Year,imdbRating,month
USA,Norman Jewison,Drama,English,67,United Artists,G,181,Fiddler on the Roof,1971,8,11
USA,William Friedkin,Action,English,94,20th Century Fox,R,104,The French Connection,1971,7.7,10
USA,Peter Bogdanovich,Drama,English,93,Columbia Pictures,R,118,The Last Picture Show,1971,8,10
UK,Franklin J. Schaffner,Biography,English,,Sony Pictures Home Entertainment,GP,183,Nicholas and Alexandra,1971,7.2,12
USA,Bob Fosse,Drama,English,80,Twentieth Century Fox Home Entertainment,PG,124,Cabaret,1972,7.8,2
USA,John Boorman,Adventure,English,82,Warner Bros.,R,109,Deliverance,1972,7.7,8
USA,Francis Ford Coppola,Crime,English,100,Paramount Pictures,R,175,The Godfather,1972,9.2,3
USA,Martin Ritt,Drama,English,80,Rainbow Group / KOCH Entertainment,G,105,Sounder,1972,7.6,4
USA,George Lucas,Comedy,English,97,Universal Pictures,PG,110,American Graffiti,1973,7.4,8
USA,William Friedkin,Horror,English,81,Warner Bros. Pictures,R,122,The Exorcist,1973,8,12
USA,George Roy Hill,Comedy,English,83,Universal Pictures,PG,129,The Sting,1973,8.3,12
UK,Melvin Frank,Comedy,English,,Media Home Entertainment,PG,106,A Touch of Class,1973,6.5,8
USA,Roman Polanski,Drama,English,92,Paramount Pictures,R,130,Chinatown,1974,8.2,6
USA,Francis Ford Coppola,Drama,English,85,Paramount Pictures,PG,113,The Conversation,1974,7.8,6
USA,Francis Ford Coppola,Crime,English,90,Paramount Pictures,R,202,The Godfather: Part II,1974,9,12
USA,Bob Fosse,Biography,English,61,Twentieth Century Fox Home Entertainment,R,111,Lenny,1974,7.6,12
