Year,Category,Winner,Title,month,Rated,Runtime,Country,Director,Genre,Language,Production,Metascore,imdbRating
1939,OUTSTANDING PRODUCTION,False,"Goodbye, Mr. Chips",7,Unrated,114,UK,"Sam Wood, Sidney Franklin",Drama,English,MGM Home Entertainment,,7.9
1939,OUTSTANDING PRODUCTION,False,Love Affair,4,Approved,88,USA,Leo McCarey,Comedy,English,Madacy Entertainment,,7.3
1939,OUTSTANDING PRODUCTION,False,Mr. Smith Goes to Washington,10,Not Rated,129,USA,Frank Capra,Comedy,English,ITVS,73.0,8.1
1939,OUTSTANDING PRODUCTION,False,Ninotchka,11,Not Rated,110,USA,Ernst Lubitsch,Comedy,English,Warner Bros. Pictures,,7.9
1939,OUTSTANDING PRODUCTION,False,Of Mice and Men,1,Approved,106,USA,Lewis Milestone,Drama,English,United Artists,,7.9
1939,OUTSTANDING PRODUCTION,False,Stagecoach,3,Passed,96,USA,John Ford,Adventure,English,Warner Home Video,93.0,7.9
1939,OUTSTANDING PRODUCTION,False,The Wizard of Oz,8,PG,102,USA,"Victor Fleming, George Cukor, Mervyn LeRoy, Norman Taurog, Richard Thorpe, King Vidor",Adventure,English,Warner Bros. Pictures,100.0,8.0
1939,OUTSTANDING PRODUCTION,False,Wuthering Heights,4,Not Rated,104,USA,William Wyler,Drama,English,United Artists,,7.6
1940,OUTSTANDING PRODUCTION,False,"All This, and Heaven Too",7,Approved,141,USA,Anatole Litvak,Drama,English,Warner Bros. Pictures,,7.6
1940,OUTSTANDING PRODUCTION,False,Foreign Correspondent,8,Passed,120,USA,Alfred Hitchcock,Action,English,Warner Home Video,,7.5
1940,OUTSTANDING PRODUCTION,False,The Grapes of Wrath,3,Passed,129,USA,John Ford,Drama,English,20th Century Fox Film Corporation,96.0,8.0
1940,OUTSTANDING PRODUCTION,False,The Great Dictator,3,Passed,125,USA,Charles Chaplin,Comedy,English,Criterion Collection,,8.5
1940,OUTSTANDING PRODUCTION,False,Kitty Foyle,12,Approved,108,USA,Sam Wood,Drama,English,Media Home Entertainment,,7.0
1940,OUTSTANDING PRODUCTION,False,The Letter,11,Not Rated,95,USA,William Wyler,Crime,English,MGM Home Entertainment,,7.6
1940,OUTSTANDING PRODUCTION,False,The Long Voyage Home,11,Approved,105,USA,John Ford,Drama,English,Criterion Collection,,7.0
1940,OUTSTANDING PRODUCTION,False,Our Town,5,NOT RATED,90,USA,Sam Wood,Drama,English,United Artists,,6.8
1940,OUTSTANDING PRODUCTION,False,The Philadelphia Story,1,Not Rated,112,USA,George Cukor,Comedy,English,MGM,96.0,7.9
1940,OUTSTANDING PRODUCTION,True,Rebecca,4,Not Rated,130,USA,Alfred Hitchcock,Drama,English,United Artists,,8.1
1941,OUTSTANDING MOTION PICTURE,False,Blossoms in the Dust,8,Approved,99,USA,Mervyn LeRoy,Biography,English,WARNER BROTHERS PICTURES,,6.9
1941,OUTSTANDING MOTION PICTURE,False,Citizen Kane,9,PG,119,USA,Orson Welles,Drama,English,RKO Radio Pictures,100.0,8.3
1941,OUTSTANDING MOTION PICTURE,False,Here Comes Mr. Jordan,8,Not Rated,94,USA,Alexander Hall,Comedy,English,Sony Pictures Entertainment,,7.6
1941,OUTSTANDING MOTION PICTURE,False,Hold Back the Dawn,9,Not Rated,116,USA,Mitchell Leisen,Drama,English,Paramount Pictures,,7.4
1941,OUTSTANDING MOTION PICTURE,True,How Green Was My Valley,4,Not Rated,118,USA,John Ford,Drama,English,Twentieth Century Fox Home Entertainment,,7.7
1941,OUTSTANDING MOTION PICTURE,False,The Little Foxes,8,Approved,116,USA,William Wyler,Drama,English,RKO,,8.2
1941,OUTSTANDING MOTION PICTURE,False,The Maltese Falcon,10,Not Rated,100,USA,John Huston,Film-Noir,English,Warner Bros.,96.0,8.0
1941,OUTSTANDING MOTION PICTURE,False,One Foot in Heaven,11,Approved,108,USA,Irving Rapper,Biography,English,Warner Bros.,,7.0
1941,OUTSTANDING MOTION PICTURE,False,Sergeant York,9,Not Rated,134,USA,Howard Hawks,Biography,English,Warner Bros. Pictures,,7.7
1941,OUTSTANDING MOTION PICTURE,False,Suspicion,11,Not Rated,99,USA,Alfred Hitchcock,Mystery,English,WARNER BROTHERS PICTURES,83.0,7.4
1942,OUTSTANDING MOTION PICTURE,False,Kings Row,4,Passed,127,USA,Sam Wood,Drama,English,Warner Home Video,,7.6
1942,OUTSTANDING MOTION PICTURE,False,The Magnificent Ambersons,7,Not Rated,88,USA,"Orson Welles, Fred Fleck, Robert Wise",Drama,English,RKO Radio Pictures,93.0,7.7
1942,OUTSTANDING MOTION PICTURE,True,Mrs. Miniver,12,Not Rated,134,USA,William Wyler,Drama,English,MGM Home Entertainment,,7.6
1942,OUTSTANDING MOTION PICTURE,False,The Pied Piper,8,,87,USA,Irving Pichel,Drama,English,20th Century Fox Film Corporation,,7.1
1942,OUTSTANDING MOTION PICTURE,False,The Pride of the Yankees,3,Approved,128,USA,Sam Wood,Biography,English,MGM,,7.7
1942,OUTSTANDING MOTION PICTURE,False,Random Harvest,8,Passed,126,USA,Mervyn LeRoy,Drama,English,MGM Home Entertainment,,8.0
1942,OUTSTANDING MOTION PICTURE,False,The Talk of the Town,8,Approved,118,USA,George Stevens,Comedy,English,Sony Pictures Entertainment,,7.5
1942,OUTSTANDING MOTION PICTURE,False,Wake Island,8,Approved,88,USA,John Farrow,Action,English,MCA Universal Home Video,,6.8
1942,OUTSTANDING MOTION PICTURE,False,Yankee Doodle Dandy,6,Passed,126,USA,Michael Curtiz,Biography,English,MGM Home Entertainment,,7.7
1943,OUTSTANDING MOTION PICTURE,True,Casablanca,1,PG,102,USA,Michael Curtiz,Drama,English,Warner Bros. Pictures,100.0,8.5
1943,OUTSTANDING MOTION PICTURE,False,For Whom the Bell Tolls,7,Passed,170,USA,Sam Wood,Adventure,English,MCA Universal Home Video,,6.9
1943,OUTSTANDING MOTION PICTURE,False,Heaven Can Wait,8,Not Rated,112,USA,Ernst Lubitsch,Comedy,English,20th Century Fox Film Corporation,,7.5
1943,OUTSTANDING MOTION PICTURE,False,Heaven Can Wait,6,PG,101,USA,"Warren Beatty, Buck Henry",Comedy,English,Paramount Home Video,72.0,6.9
1978,BEST PICTURE,False,Heaven Can Wait,8,Not Rated,112,USA,Ernst Lubitsch,Comedy,English,20th Century Fox Film Corporation,,7.5
1978,BEST PICTURE,False,Heaven Can Wait,6,PG,101,USA,"Warren Beatty, Buck Henry",Comedy,English,Paramount Home Video,72.0,6.9
1943,OUTSTANDING MOTION PICTURE,False,The Human Comedy,2,Passed,117,USA,Clarence Brown,Comedy,English,Warner Home Video,,7.1
1943,OUTSTANDING MOTION PICTURE,False,In Which We Serve,12,Not Rated,115,UK,"Noël Coward, David Lean",Drama,English,MCA Universal Home Video,,7.3
1943,OUTSTANDING MOTION PICTURE,False,Madame Curie,2,Not Rated,124,USA,"Mervyn LeRoy, Albert Lewin",Biography,English,Warner Bros. Pictures,,7.2
1943,OUTSTANDING MOTION PICTURE,False,The More the Merrier,5,Passed,104,USA,George Stevens,Comedy,English,Columbia Pictures,,7.8
1943,OUTSTANDING MOTION PICTURE,False,The Ox-Bow Incident,5,Not Rated,75,USA,William A. Wellman,Drama,English,20th Century Fox Film Corporat,,8.0
1943,OUTSTANDING MOTION PICTURE,False,The Song of Bernadette,4,Approved,156,USA,Henry King,Biography,English,Twentieth Century Fox Home Entertainment,,7.6
1943,OUTSTANDING MOTION PICTURE,False,Watch on the Rhine,8,Approved,114,USA,"Herman Shumlin, Hal Mohr",Drama,English,Warner Home Video,,7.4
1944,BEST MOTION PICTURE,False,Double Indemnity,7,Passed,107,USA,Billy Wilder,Crime,English,Paramount Pictures,95.0,8.3
1944,BEST MOTION PICTURE,False,Gaslight,10,Not Rated,114,USA,George Cukor,Crime,English,MGM,,7.8
1944,BEST MOTION PICTURE,True,Going My Way,10,Passed,126,USA,Leo McCarey,Comedy,English,Paramount Pictures,,7.1
1944,BEST MOTION PICTURE,False,Since You Went Away,7,Approved,177,USA,"John Cromwell, Edward F. Cline, Tay Garnett, David O. Selznick",Drama,English,United Artists,,7.6
1944,BEST MOTION PICTURE,False,Wilson,8,Passed,154,USA,Henry King,Biography,English,Twentieth Century Fox Film Cor,,6.8
1945,BEST MOTION PICTURE,False,Anchors Aweigh,8,Passed,140,USA,George Sidney,Comedy,English,MGM Home Entertainment,,7.1
1945,BEST MOTION PICTURE,False,The Bells of St. Mary's,2,Unrated,126,USA,Leo McCarey,Drama,English,RKO Radio Pictures,,7.3
1945,BEST MOTION PICTURE,True,The Lost Weekend,1,Not Rated,101,USA,Billy Wilder,Drama,English,Paramount Pictures,,7.9
1945,BEST MOTION PICTURE,False,Mildred Pierce,10,Passed,111,USA,Michael Curtiz,Crime,English,MGM Home Entertainment,,8.0
1945,BEST MOTION PICTURE,False,Spellbound,12,Approved,111,USA,Alfred Hitchcock,Film-Noir,English,Twentieth Century Fox Home Entertainment,,7.6
1946,BEST MOTION PICTURE,True,The Best Years of Our Lives,5,Approved,170,USA,William Wyler,Drama,English,RKO Radio Pictures,92.0,8.0
1946,BEST MOTION PICTURE,False,Henry V,10,Not Rated,137,UK,Laurence Olivier,Biography,English,Paramount Home Video,,7.1
1946,BEST MOTION PICTURE,False,It's a Wonderful Life,1,Not Rated,130,USA,Frank Capra,Drama,English,Liberty Films,89.0,8.6
1946,BEST MOTION PICTURE,False,The Razor's Edge,12,Approved,145,USA,Edmund Goulding,Drama,English,Twentieth Century Fox,,7.4
1946,BEST MOTION PICTURE,False,The Yearling,5,Approved,128,USA,Clarence Brown,Drama,English,MGM Home Entertainment,89.0,7.2
1947,BEST MOTION PICTURE,False,The Bishop's Wife,2,Not Rated,109,USA,Henry Koster,Comedy,English,RKO Radio Pictures,,7.6
1947,BEST MOTION PICTURE,False,Crossfire,8,Approved,86,USA,Edward Dmytryk,Crime,English,WARNER BROTHERS PICTURES,,7.3
1947,BEST MOTION PICTURE,True,Gentleman's Agreement,3,Not Rated,118,USA,Elia Kazan,Drama,English,Twentieth Century Fox Home Entertainment,,7.2
1947,BEST MOTION PICTURE,False,Great Expectations,5,Not Rated,118,UK,David Lean,Adventure,English,Universal Pictures,,7.8
1947,BEST MOTION PICTURE,False,Miracle on 34th Street,10,Not Rated,96,USA,George Seaton,Comedy,English,20th Century Fox,88.0,7.9
1948,BEST MOTION PICTURE,True,Hamlet,8,Not Rated,154,UK,Laurence Olivier,Drama,English,Universal,,7.7
1948,BEST MOTION PICTURE,False,Johnny Belinda,9,Unrated,102,USA,Jean Negulesco,Drama,English,Warner Bros. Pictures,,7.8
1948,BEST MOTION PICTURE,False,The Red Shoes,9,Not Rated,135,UK,"Michael Powell, Emeric Pressburger",Drama,English,Eagle-Lion Films,,8.2
1948,BEST MOTION PICTURE,False,The Snake Pit,11,Not Rated,108,USA,Anatole Litvak,Drama,English,20th Century Fox Film Corporation,,7.6
1948,BEST MOTION PICTURE,False,The Treasure of the Sierra Madre,1,Passed,126,USA,John Huston,Adventure,English,WARNER BROTHERS PICTURES,98.0,8.2
1949,BEST MOTION PICTURE,True,All the King's Men,1,Approved,110,USA,Robert Rossen,Drama,English,Sony Pictures Home Entertainment,,7.5
1949,BEST MOTION PICTURE,False,Battleground,1,Approved,118,USA,William A. Wellman,Action,English,MGM,,7.4
1949,BEST MOTION PICTURE,False,The Heiress,12,Not Rated,115,USA,William Wyler,Drama,English,Paramount Pictures,,8.2
1949,BEST MOTION PICTURE,False,A Letter to Three Wives,2,Not Rated,103,USA,Joseph L. Mankiewicz,Drama,English,Fox,,7.8
1949,BEST MOTION PICTURE,False,Twelve O'Clock High,2,Not Rated,132,USA,Henry King,Drama,English,Twentieth Century Fox Home Entertainment,,7.7
1950,BEST MOTION PICTURE,False,Born Yesterday,2,Not Rated,103,USA,George Cukor,Comedy,English,Columbia Pictures,,7.6
1950,BEST MOTION PICTURE,False,Father of the Bride,6,Not Rated,92,USA,Vincente Minnelli,Comedy,English,MGM,,7.2
1950,BEST MOTION PICTURE,False,King Solomon's Mines,11,Passed,103,USA,"Compton Bennett, Andrew Marton",Action,English,MGM Home Entertainment,,6.8
